priority_score,action_type,page_path,handle,page_type,metric_value,notes,rank
18.1,HIGH_IMPRESSIONS_LOW_CTR,/blogs/mid-century-modern-scandi-japandi-design-blog/title-top-5-modern-mid-century-furniture-companies-you-should-know-2022-moderncre8ve,title-top-5-modern-mid-century-furniture-companies-you-should-know-2022-moderncre8ve,blog,CTR 0.0% vs expected 1.0%,181 impressions but only 0.0% CTR (expected ~1.0% at position 14). Rewrite title tag + meta description for this page.,29
16.0,STRIKING_DISTANCE,/blogs/mid-century-modern-scandi-japandi-design-blog/japandi-style-90-things,japandi-style-90-things,blog,pos 5.2 | 101 imp,Ranking #5 with 101 impressions. Top query: 'best minimalist furniture styles'. Optimize content + internal links to push to page 1.,30
15.4,HIGH_IMPRESSIONS_LOW_CTR,/blogs/mid-century-modern-scandi-japandi-design-blog/the-ultimate-guide-to-cleaning-and-caring-for-your-handmade-solid-wood-furniture,the-ultimate-guide-to-cleaning-and-caring-for-your-handmade-solid-wood-furniture,blog,CTR 0.0% vs expected 1.0%,154 impressions but only 0.0% CTR (expected ~1.0% at position 22). Rewrite title tag + meta description for this page.,31
15.2,HIGH_IMPRESSIONS_LOW_CTR,/blogs/mid-century-modern-scandi-japandi-design-blog/discover-the-pinnacle-of-handcrafted-furniture-top-10-furniture-makers-in-the-usa-2023-2024,discover-the-pinnacle-of-handcrafted-furniture-top-10-furniture-makers-in-the-usa-2023-2024,blog,CTR 0.0% vs expected 1.0%,152 impressions but only 0.0% CTR (expected ~1.0% at position 24). Rewrite title tag + meta description for this page.,32
14.7,HIGH_IMPRESSIONS_LOW_CTR,/products/payne-oval-extendable-dining-table-for-6-8,payne-oval-extendable-dining-table-for-6-8,product,CTR 0.0% vs expected 1.0%,147 impressions but only 0.0% CTR (expected ~1.0% at position 24). Rewrite title tag + meta description for this page.,33
12.6,HIGH_IMPRESSIONS_LOW_CTR,/products/modern-round-extendable-dining-table-ohio,modern-round-extendable-dining-table-ohio,product,CTR 0.4% vs expected 1.0%,214 impressions but only 0.4% CTR (expected ~1.0% at position 32). Rewrite title tag + meta description for this page.,34
12.5,STRIKING_DISTANCE,/blogs/mid-century-modern-scandi-japandi-design-blog/title-top-5-modern-mid-century-furniture-companies-you-should-know-2022-moderncre8ve,title-top-5-modern-mid-century-furniture-companies-you-should-know-2022-moderncre8ve,blog,pos 14.1 | 181 imp,Ranking #14 with 181 impressions. Top query: 'american made mid century modern furniture'. Optimize content + internal links to push to page 1.,35
10.7,HIGH_IMPRESSIONS_LOW_CTR,/products/bosco-walnut-mid-century-modern-bed-handmade,bosco-walnut-mid-century-modern-bed-handmade,product,CTR 0.0% vs expected 1.0%,107 impressions but only 0.0% CTR (expected ~1.0% at position 24). Rewrite title tag + meta description for this page.,36
10.2,HIGH_IMPRESSIONS_LOW_CTR,/blogs/mid-century-modern-scandi-japandi-design-blog/comparing-scandinavian-furniture-and-mid-century-modern-furniture,comparing-scandinavian-furniture-and-mid-century-modern-furniture,blog,CTR 0.0% vs expected 1.0%,102 impressions but only 0.0% CTR (expected ~1.0% at position 12). Rewrite title tag + meta description for this page.,37
9.6,STRIKING_DISTANCE,/blogs/mid-century-modern-scandi-japandi-design-blog/comparing-scandinavian-furniture-and-mid-century-modern-furniture,comparing-scandinavian-furniture-and-mid-century-modern-furniture,blog,pos 11.6 | 102 imp,Ranking #12 with 102 impressions. Top query: 'japandi vs mid century modern'. Optimize content + internal links to push to page 1.,38
6.9,STRIKING_DISTANCE,/products/mid-century-modern-extendable-dining-table-santa-monica,mid-century-modern-extendable-dining-table-santa-monica,product,pos 19.1 | 365 imp,"Ranking #19 with 365 impressions. Top query: '""76"" ""mid century extendable dining table"" ""us"" ""2"" ""200"" ""1.20"" """" ""mid century dining table"" ""2023-08-09 04:11:26"" ""shopping results'. Optimize content + internal links to push to page 1.",39
6.9,STRIKING_DISTANCE,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,scandinavian-modern-design,blog,pos 18.4 | 267 imp,Ranking #18 with 267 impressions. Top query: 'scandinavian modern'. Optimize content + internal links to push to page 1.,40
5.3,STRIKING_DISTANCE,/collections/mid-century-modern,mid-century-modern,collection,pos 13.1 | 67 imp,Ranking #13 with 67 impressions. Top query: 'amish furniture'. Optimize content + internal links to push to page 1.,41
3.9,STRIKING_DISTANCE,/products/upton-handmade-scandinavian-inspired-bed-frame,upton-handmade-scandinavian-inspired-bed-frame,product,pos 19.7 | 301 imp,Ranking #20 with 301 impressions. Top query: 'scandinavian bed frame king'. Optimize content + internal links to push to page 1.,42
3.0,STRIKING_DISTANCE,/blogs/mid-century-modern-scandi-japandi-design-blog/japandi-bedroom,japandi-bedroom,blog,pos 19.7 | 228 imp,Ranking #20 with 228 impressions. Top query: 'bedroom design'. Optimize content + internal links to push to page 1.,43
2.5,STRIKING_DISTANCE,/products/minimalist-bed-frame-ohio,minimalist-bed-frame-ohio,product,pos 18.1 | 87 imp,Ranking #18 with 87 impressions. Top query: 'bed frames minimalist'. Optimize content + internal links to push to page 1.,44
1.8,STRIKING_DISTANCE,/products/van-aiken-boho-bed-fram?variant=45605065752875,van-aiken-boho-bed-fram?variant=45605065752875,product,pos 19.8 | 151 imp,Ranking #20 with 151 impressions. Top query: 'boho bedframe'. Optimize content + internal links to push to page 1.,45
1.5,STRIKING_DISTANCE,/collections/all,all,collection,pos 18.1 | 51 imp,Ranking #18 with 51 impressions. Top query: 'contemporary bespoke furniture'. Optimize content + internal links to push to page 1.,46
